reference.code;reference.description
AAA;"Order acknowledgement document identifier"
AAB;"Proforma invoice document identifier"
AAC;"Documentary credit identifier"
AAD;"Contract document addendum identifier"
AAE;"Goods declaration number"
AAF;"Debit card number"
AAG;"Offer number"
AAH;"Bank's batch interbank transaction reference number"
AAI;"Bank's individual interbank transaction reference number"
AAJ;"Delivery order number"
AAK;"Despatch advice number"
AAL;"Drawing number"
AAM;"Waybill number"
AAN;"Delivery schedule number"
AAO;"Consignment identifier, consignee assigned"
AAP;"Partial shipment identifier"
AAQ;"Transport equipment identifier"
AAR;"Municipality assigned business registry number"
AAS;"Transport contract document identifier"
AAT;"Master label number"
AAU;"Despatch note document identifier"
AAV;"Enquiry number"
AAW;"Docket number"
AAX;"Civil action number"
AAY;"Carrier's agent reference number"
AAZ;"Standard Carrier Alpha Code (SCAC) number"
ABA;"Customs valuation decision number"
ABB;"End use authorization number"
ABC;"Anti-dumping case number"
ABD;"Customs tariff number"
ABE;"Declarant's reference number"
ABF;"Repair estimate number"
ABG;"Customs decision request number"
ABH;"Sub-house bill of lading number"
ABI;"Tax payment identifier"
ABJ;"Quota number"
ABK;"Transit (onward carriage) guarantee (bond) number"
ABL;"Customs guarantee number"
ABM;"Replacing part number"
ABN;"Seller's catalogue number"
ABO;"Originator's reference"
ABP;"Declarant's Customs identity number"
ABQ;"Importer reference number"
ABR;"Export clearance instruction reference number"
ABS;"Import clearance instruction reference number"
ABT;"Goods declaration document identifier, Customs"
ABU;"Article number"
ABV;"Intra-plant routing"
ABW;"Stock keeping unit number"
ABX;"Text Element Identifier deletion reference"
ABY;"Allotment identification (Air)"
ABZ;"Vehicle licence number"
AC;"Air cargo transfer manifest"
ACA;"Cargo acceptance order reference number"
ACB;"US government agency number"
ACC;"Shipping unit identification"
ACD;"Additional reference number"
ACE;"Related document number"
ACF;"Addressee reference"
ACG;"ATA carnet number"
ACH;"Packaging unit identification"
ACI;"Outerpackaging unit identification"
ACJ;"Customer material specification number"
ACK;"Bank reference"
ACL;"Principal reference number"
ACN;"Collection advice document identifier"
ACO;"Iron charge number"
ACP;"Hot roll number"
ACQ;"Cold roll number"
ACR;"Railway wagon number"
ACT;"Unique claims reference number of the sender"
ACU;"Loss/event number"
ACV;"Estimate order reference number"
ACW;"Reference number to previous message"
ACX;"Banker's acceptance"
ACY;"Duty memo number"
ACZ;"Equipment transport charge number"
ADA;"Buyer's item number"
ADB;"Matured certificate of deposit"
ADC;"Loan"
ADD;"Analysis number/test number"
ADE;"Account number"
ADF;"Treaty number"
ADG;"Catastrophe number"
ADI;"Bureau signing (statement reference)"
ADJ;"Company / syndicate reference 1"
ADK;"Company / syndicate reference 2"
ADL;"Ordering customer consignment reference number"
ADM;"Shipowner's authorization number"
ADN;"Inland transport order number"
ADO;"Container work order reference number"
ADP;"Statement number"
ADQ;"Unique market reference"
ADT;"Group accounting"
