unit.code;unit.description
ARTICLE;"A unit of count defining the number of articles (items)"
UNIT;"A unit of count defining the number of pieces"
SET;"a number of objects grouped together"
PAIR;"number of pairs"
HECTARE;"Hectare (ha)"
HOUR;"Hour (h)"
KILOGRAM;"Kilogram (kg)"
KILOMETER;"Kilometer (km)"
KILOWATT_HOUR;"Kilowatt hour (kWh)"
LUMP_SUM;"lump sum"
LITRE;"Liter (l)"
MINUTE;"Minute (min)"
MILLIMETER_SQUARE;"square millimeter (mm2)"
MILLIMETER;"Millimeter (mm)"
METER_SQUARE;"square meter  (m2)"
METER_CUBIC;"cubic meter (m3)"
METER;"Meter (m)"
SECOND;"Second (s)"
PERCENT;"Percent (%)"
TON_METRIC;"Metric ton (t)"
DAY;"days count"
WEEK;"Week"
MONTH;"Month"
MILE;"International Mile"
